node_id,grau,clustering,closeness,betweenness,eigenvector,page_rank
F_268,25,0.30666666666666664,0.08456715210355988,0.0003225600417218472,0.010488352230549796,8.82735176234924e-05
F_269,22,0.341991341991342,0.08218181818181818,0.00020147139929261636,0.006819822306366099,8.392174744655648e-05
F_270,21,0.36666666666666664,0.08148773753451356,0.00011939699852098656,0.0045061243624098446,8.396775182475946e-05
F_271,15,0.580952380952381,0.07612290848622044,1.3828222063078895e-05,0.0012506280700379012,6.668930974726225e-05
F_272,17,0.47794117647058826,0.07841237293857291,1.725460584721175e-05,0.002222255633564376,7.048098760139844e-05
F_273,17,0.45588235294117646,0.07821239500907272,7.287699166914492e-06,0.0022841814389628822,6.743752949444002e-05
F_279,13,0.717948717948718,0.07431039385752879,6.117035975231804e-06,0.0006103343534138672,6.431911896681405e-05
F_280,20,0.34210526315789475,0.0785356049364164,0.00011466233683687485,0.002888951815067462,8.139473796971779e-05
F_281,17,0.45588235294117646,0.08005897671568628,0.00013868208994995384,0.0036481547532969164,6.978359929891994e-05
F_282,23,0.32806324110671936,0.08486295947984818,0.0003143036939011228,0.012056952660037206,8.36771074243872e-05
F_283,23,0.33201581027667987,0.08652075242634734,0.0003214264429903814,0.015211916843668944,7.976708352788037e-05
F_284,25,0.31666666666666665,0.09144327717308098,0.0006344620745152586,0.026285167664504425,8.784958339551186e-05
F_285,26,0.2953846153846154,0.09171273142054927,0.0004721956729460873,0.02652613358134533,9.153480955065033e-05
F_286,25,0.3233333333333333,0.0928725861864708,0.0003789407333599696,0.027013909926429148,8.600537356070432e-05
F_287,24,0.322463768115942,0.09661765045716794,0.0004948653435279156,0.019494664225933225,8.145734844172264e-05
F_288,23,0.3438735177865613,0.09679809228347186,0.0007914616217953142,0.014105421447507803,8.05497477876182e-05
F_289,24,0.322463768115942,0.10294141785532558,0.0009112358349667361,0.012339897456735766,8.679058909193951e-05
F_290,23,0.33201581027667987,0.10365944364555958,0.0006409787266158388,0.0075579156748539255,8.420546484255183e-05
F_291,22,0.354978354978355,0.11054802488939028,0.001300307982622437,0.00772853059094087,8.064780639494072e-05
F_292,21,0.37142857142857144,0.11144281259162513,0.0007066206057790393,0.006682884982333519,7.623990461395108e-05
F_293,23,0.3241106719367589,0.11314780569212034,0.0009376855309284846,0.011172247160499822,8.16705289359114e-05
F_294,18,0.45751633986928103,0.1168421052631579,0.0002934029560705884,0.006873362326630126,6.711415090027105e-05
F_295,21,0.3619047619047619,0.11903541737843071,0.00075271144355767,0.00979574730196742,7.563651550053477e-05
F_296,23,0.31620553359683795,0.12649891583883818,0.0025008605295998147,0.008483913464753764,7.771451231820866e-05
F_297,23,0.3201581027667984,0.12749542589957308,0.001482482396743431,0.008886000594257976,7.782453387466888e-05
F_298,22,0.3593073593073593,0.12067887277870248,0.00023635615504823923,0.009768264947771426,7.941017082273841e-05
F_299,21,0.3619047619047619,0.12192822147911968,0.0004244942984912258,0.006862494123749368,7.486171128653817e-05
F_300,20,0.4105263157894737,0.11285765700917762,0.00013960105411024452,0.007374772786014352,7.068546338755139e-05
F_301,25,0.29,0.11772932486085169,0.0016427856840970814,0.009044456902749581,8.566709784073691e-05
F_302,21,0.3619047619047619,0.10982785492881285,0.00014042917429548367,0.00700450645277762,7.869780618688442e-05
F_303,23,0.3201581027667984,0.10810414817240814,0.0004328116556060836,0.005985620534979348,8.742113687632103e-05
F_304,20,0.38421052631578945,0.10256095766079576,7.713471956231447e-05,0.004616359622312573,7.719091703221401e-05
F_305,19,0.39766081871345027,0.10064916827821956,6.767155841077572e-05,0.002074339108965631,7.807302112027324e-05
F_306,18,0.43137254901960786,0.10388093818326377,0.0003494102825894477,0.0013130988428907847,7.899443380084682e-05
F_307,15,0.5619047619047619,0.09648758423336103,4.121315712519649e-05,0.0004202155523923046,7.371916982498782e-05
F_308,16,0.5,0.09743573808950447,8.628646210434078e-05,0.0007299345113287551,7.564066666637393e-05
F_309,16,0.49166666666666664,0.09663700450710735,6.722290716970234e-05,0.0012641307854824402,7.097329898127167e-05
F_310,22,0.31601731601731603,0.09840811555088302,0.0003124436471983853,0.00478266396255589,8.376371212669831e-05
F_311,20,0.3736842105263158,0.09694547927841585,0.00034861505518205633,0.003832556846576558,7.771323715383726e-05
F_312,18,0.43790849673202614,0.09727403156384505,0.00021559572168518287,0.003553436478046784,7.092848304953648e-05
F_313,19,0.4152046783625731,0.10172749391727494,0.00012117652770012232,0.0049552936591040105,7.362303782319944e-05
F_314,22,0.33766233766233766,0.10301243409273829,0.00043046633762581317,0.006798779755809312,8.372800578968366e-05
F_315,23,0.32806324110671936,0.10517886192496688,0.000464146136744841,0.013678687849161902,8.136894114236512e-05
F_316,24,0.29347826086956524,0.105198268921095,0.0002455038860362743,0.014059770390203917,8.417176328613242e-05
F_317,26,0.28615384615384615,0.1114685625416574,0.000915956770151728,0.01429770884537974,8.98816583160198e-05
F_318,25,0.30333333333333334,0.11332158829109636,0.000573568453535129,0.016240048863673716,8.618031594341574e-05
F_319,26,0.2923076923076923,0.11685407913246816,0.0007115694481779504,0.017094475883113976,8.933267846181477e-05
F_320,21,0.3619047619047619,0.11972395624534678,0.0006972095034506635,0.008824953483415632,7.332847452067606e-05
F_321,24,0.31521739130434784,0.12400763245573275,0.000667637332304142,0.00987391550295744,8.047178532201931e-05
F_322,23,0.32806324110671936,0.12804990097392654,0.001271621516700038,0.00685494989536613,8.059565973729131e-05
F_323,19,0.4093567251461988,0.12862240817079923,0.00029110336600088316,0.00343160307453649,6.773976738111056e-05
F_324,23,0.33992094861660077,0.1354857525546026,0.003748564694936762,0.004095445022286252,7.56281992964738e-05
F_325,24,0.3188405797101449,0.1371719160104987,0.0012192965973320585,0.003043173690619595,8.164501951006721e-05
F_326,26,0.3046153846153846,0.13805666233737646,0.001441973034942459,0.002919558210012624,8.468035285602867e-05
F_327,24,0.3188405797101449,0.14137736699729486,0.0025797600538498425,0.0022193302167666886,7.877956527216465e-05
F_328,22,0.36363636363636365,0.1399388611210282,0.00027265931183107227,0.0015643005148315676,7.495529792384817e-05
F_329,23,0.3359683794466403,0.1432617957123114,0.0033677707295595573,0.0011803450167991694,7.826455542109641e-05
F_330,24,0.32971014492753625,0.14109111361079865,0.000865604223055894,0.0010621044684603737,7.913168647219744e-05
